TOKEN_ID,TOKEN_NAME,Color,Meka Type,Helmet,Eyes,Mask,Jaws,Arms,Chest,Colors,Weapon,Material,Legendary
17,Meka #17,Blood Red,OG Meka,OG Delta Trooper,OG White E13,OG Mantis,OG Sabotage S3,OG Trooper A1,OG Trooper C1,4.0,,,
18,Meka #18,Dark Grey,OG Meka,OG Radiant Heavy,OG Violet E1,OG Knight,OG Trooper S2,OG Trooper A2,OG Trooper C1,3.0,OG Smiley K1,,
19,Meka #19,Blue Grey,Mirage,MI Racer,MI Aqua Eye,MI Racer M2,MI Radar W1,MI Racer A1,MI Racer C1,3.0,,,
20,Meka #20,Grey,Gādian,GAI Youma H2,Green Circle,GAI Jingasa M2,Bastion J1,GAI Yasuke,GAI Sōhei C1,2.0,GAI Enten,,
21,Meka #21,Red,Mirage,MI Radar,MI Pink Visor,MI Radar M1,MI Racer W1,MI Racer A1,MI Racer C2,3.0,MI Rockets X,,
22,Meka #22,,Mirage,MI Racer H2,MI White Visor,MI Radar M1,MI Sonar J2,MI Racer A2,MI Radar C1,0.0,Mi Wing blade x2,Camo blue,
23,Meka #23,Red,OG Meka,OG Delta Elite,OG Rose E1,OG Monkey R-7,OG Trooper S1,OG Trooper A2,OG Heavy C1,3.0,,,
24,Meka #24,Blue Grey,Mirage,MI Racer H2,MI Pink Visor,MI Racer M1,MI Racer W2,MI Racer A1,MI Racer C1,3.0,,,
25,Meka #25,,Gādian,GAI Bastion,Pink Delta,GAI Bastion M1,GAI Jingasa J1,GAI Youma,GAI Youma,0.0,,Camo green,
26,Meka #26,White,Gādian,GAI Jingasa H1,Pink Delta,GAI Jingasa M1,Bastion J1,GAI Jingasa A1,GAI Jingasa C1,2.0,,,
27,Meka #27,White,Mirage,MI Racer,MI Aqua Eye,MI Racer M2,MI Racer W2,MI Racer A1,MI Racer C2,2.0,,,
28,Meka #28,Red,Mirage,MI Radar,MI Pink Visor,MI Kaiman,MI Sonar J2,MI Sonic A1,MI Racer C1,3.0,,,
29,Meka #29,Blurple,OG Meka,OG Darya Trooper,OG Rose E1,OG Trooper M1,OG Sabotage S3,OG Trooper A2,OG Trooper C2,4.0,,,
30,Meka #30,Blurple,OG Meka,OG Radiant Heavy,OG Rose E1,OG Trooper M2,OG Trooper S1,OG Solid Tank,OG Heavy C1,2.0,,,
31,Meka #31,Orange,Gādian,GAI Jingasa H2,Pink Delta,GAI Jingasa M2,GAI Jingasa J1,GAI Jingasa A1,GAI Jingasa C1,4.0,,,
32,Meka #32,Blue Grey,OG Meka,OG Quartz Heavy,OG Rose E1,OG Sphere,OG Sabotage S3,OG Trooper A2,OG Trooper C1,3.0,,,
33,Meka #33,Orange,OG Meka,OG Darya Heavy,OG Blue E4,OG Trooper M2,OG Trooper S2,OG Trooper A2,OG Heavy C2,4.0,,,
34,Meka #34,Blood Red,Gādian,GAI Jingasa H1,Green Circle,GAI Bastion M1,GAI Jingasa J1,GAI Jingasa A1,GAI Jingasa C1,3.0,,,
35,Meka #35,Aqua Lite,OG Meka,OG Delta Trooper,OG Rose E1,OG Filter,OG Trooper S2,OG Trooper A1,OG Heavy C2,4.0,,,
36,Meka #36,Sky Blue,Gādian,GAI Jingasa H2,Pink Delta,GAI Ukiyo-E,GAI Jingasa J1,GAI Jingasa A2,GAI Jingasa C1,3.0,,,
37,Meka #37,Pastel Blue,OG Meka,OG Delta Elite,OG Blue E4,OG Trooper M1,OG Trooper S2,OG Trooper A2,OG Heavy C2,3.0,,,
38,Meka #38,White,OG Meka,OG Rombus Trooper,OG Violet E1,OG Trooper M1,OG Trooper S1,OG Trooper A1,OG Trooper C2,2.0,,,
39,Meka #39,Blurple,Mirage,MI Sonar,MI White Visor,MI Racer M2,MI Sonar J2,MI Radar A1,MI Racer C1,4.0,Mi Spectral blade,,
40,Meka #40,Blood Red,OG Meka,OG Delta Trooper,OG Green E7,OG Trooper M1,OG Rocket jaw,OG Trooper A1,OG Heavy C2,4.0,OG Gatling Gun,,
41,Meka #41,Red,Gādian,GAI Jingasa H1,Green Circle,GAI Jingasa M1,Bastion J1,GAI Jingasa A1,GAI Jingasa C1,3.0,GAI Kochi x2,,
42,Meka #42,Pastel Blue,OG Meka,OG Radiant Trooper,OG Pink E0,OG Trooper M1,OG Trooper S2,OG Trooper A2,OG Heavy C1,4.0,,,
43,Meka #43,Sky Blue,OG Meka,OG Rombus Trooper,OG Violet E1,OG Filter,OG Sabotage S3,OG Trooper A1,OG Trooper C2,3.0,,,
44,Meka #44,Dark Grey,Mirage,MI Racer H2,MI Pink Visor,MI Racer M1,MI Racer W1,MI Radar A1,MI Radar C1,5.0,,,
45,Meka #45,Blue Grey,OG Meka,OG Delta Trooper,OG Green E21,OG Trooper M1,OG Assault jaw,OG Trooper A1,OG Heavy C2,4.0,,,
46,Meka #46,Blue Grey,Gādian,GAI Janjin H2,White Circle,GAI Bastion M1,Bastion J1,GAI Sōhei A1,GAI Sōhei C2,3.0,,,
47,Meka #47,Dark Brown,Gādian,GAI Jingasa H1,Pink Circle,GAI Bastion M2,GAI Jingasa J1,GAI Yasuke,GAI Jingasa C1,2.0,,,
48,Meka #48,Blue Grey,Mirage,MI Radar,MI Pink Visor,MI Falcon M0,MI Racer W1,MI Racer A1,MI Racer C1,4.0,,,
49,Meka #49,Sky Blue,Gādian,GAI Tetra H1,White Circle,GAI Bastion M1,GAI Jingasa J1,GAI Jingasa A1,GAI Sōhei C2,4.0,GAI Katana x2,,
50,Meka #50,Red,Gādian,GAI Jingasa H1,Pink Circle,GAI Youma,Bastion J1,GAI Yasuke,GAI Sōhei C2,3.0,,,
51,Meka #51,Pastel Blue,F9,F9 Spikes,F9 Red E21,F9 Heavy,F9 Brackyura,F9 Jingasa A2,F9 Bastion C1,4.0,GAI Enten,Silver Helmet,
52,Meka #52,Aqua Lite,OG Meka,OG Darya Master,OG Violet E1,OG Trooper M2,OG Sabotage S3,OG Metal spike,OG Trooper C1,4.0,,,
53,Meka #53,Red,OG Meka,OG Delta Trooper,OG Rose E1,OG Knight,OG Trooper S2,OG Squadron 3,OG Trooper C1,3.0,OG Cannons,,
54,Meka #54,Pastel Blue,OG Meka,OG Quartz Heavy,OG Green E21,OG Trooper M2,OG Trooper S1,OG Squadron 3,OG Trooper C1,3.0,,,
55,Meka #55,Pink,Gādian,GAI Janjin H2,Green Circle,GAI Jingasa M1,GAI Jingasa J1,GAI Jingasa A2,GAI Jingasa C1,4.0,,,
56,Meka #56,Sky Blue,OG Meka,OG Quartz Trooper,OG Green E21,OG Filter,OG Trooper S1,OG Solid Tank,OG Heavy C1,3.0,,,
57,Meka #57,Camo Green,Mirage,MI Racer H2,MI Pink Visor,MI Racer M2,MI Racer W2,MI Racer A1,MI Radar C1,2.0,,,
58,Meka #58,Aqua Lite,OG Meka,OG Radiant Heavy,OG Violet E1,OG Sphere,OG Trooper S1,OG Squadron 3,OG Heavy C1,4.0,,,
59,Meka #59,Grey,Mirage,MI Eagle,MI Aqua Eye,MI Racer M1,MI Racer W2,MI Racer A1,MI Racer C2,3.0,,,
60,Meka #60,Blood Red,Gādian,GAI Youma H2,Green Circle,GAI Bastion M1,GAI Jingasa J1,GAI Jingasa A2,GAI Sōhei C2,3.0,,,
61,Meka #61,Light Green,OG Meka,OG Delta Heavy,OG Violet E1,OG Heavy,OG Assault jaw,OG Trooper A2,OG Trooper C1,3.0,OG Cannons,,
62,Meka #62,White,Gādian,GAI Tetra H2,Pink Delta,GAI Bastion M2,GAI Jingasa J1,GAI Jingasa A2,GAI Jingasa C1,2.0,,,
63,Meka #63,Blood Red,OG Meka,OG Radiant Heavy,OG Violet E1,OG Trooper M1,OG Trooper S1,OG Trooper A1,OG Heavy C2,4.0,,,
64,Meka #64,Blue Grey,F9,F9 Spikes,F9 Green E4,F9 Heavy,F9 Assault,F9 Jingasa A1,F9 Bastion C1,3.0,,,
65,Meka #65,Orange,F9,F9 Assault Spikes,F9 Green E4,F9 Jingasa M2,F9 Assault,F9 Bastion,F9 Bastion C1,3.0,GAI Katana,,
66,Meka #66,Aqua Lite,F9,F9 Loop,F9 Red E21,F9 Heavy,F9 Assault,F9 Jingasa A1,F9 Bastion C1,2.0,,,
67,Meka #67,Blue Grey,OG Meka,OG Darya Heavy,OG Rose E1,OG Monkey R-9,OG Trooper S2,OG Trooper A1,OG Heavy C2,5.0,,,
68,Meka #68,Grey,Mirage,MI Radar,MI Pink Visor,MI Racer M1,MI Racer W2,MI Racer A2,MI Racer C1,3.0,,,
69,Meka #69,Blue Grey,OG Meka,OG Darya Trooper,OG Violet E1,OG Trooper M2,OG Assault jaw,OG Solid Tank,OG Trooper C1,4.0,,,
70,Meka #70,,OG Meka,OG Quartz Elite,OG Rose E1,OG Heavy,OG Assault jaw,OG Squadron 3,OG Heavy C1,0.0,,Camo green,
71,Meka #71,Dark Grey,Gādian,GAI Citadel,Pink Circle,GAI Jingasa M1,GAI Jingasa J1,GAI Sōhei A1,GAI Jingasa C1,2.0,,,
72,Meka #72,Pink,Gādian,GAI Jingasa H1,Pink Circle,GAI Jingasa M2,GAI Jingasa J1,GAI Jingasa A1,GAI Sōhei C2,4.0,,,
73,Meka #73,,OG Meka,OG Oblong Elite,OG Rose E1,OG Trooper M2,OG Rocket jaw,OG Trooper A2,OG Heavy C2,0.0,,Ghost,
74,Meka #74,Orange,OG Meka,OG Radiant Heavy,OG Rose E1,OG Trooper M1,OG Assault jaw,OG Trooper A1,OG Heavy C1,4.0,,,
75,Meka #75,Blurple,OG Meka,OG Darya Heavy,OG Rose E1,OG Filter,OG Sabotage S7,OG Trooper A1,OG Heavy C1,3.0,,,
76,Meka #76,Orange,Gādian,GAI Bastion,Pink Delta,GAI Bastion M2,GAI Jingasa J1,GAI Jingasa A2,GAI Youma,4.0,,,
77,Meka #77,Blood Red,OG Meka,OG Delta Elite,OG Rose E1,OG Mantis,OG Trooper S1,OG Squadron 4,OG Heavy C2,5.0,,,
78,Meka #78,Dark Grey,OG Meka,OG Rombus Trooper,OG Rose E1,OG Monkey R-7,OG Rocket jaw,OG Squadron 3,OG Heavy C1,4.0,,,
79,Meka #79,Dark Grey,OG Meka,OG Quartz Heavy,OG Pink E0,OG Heavy,OG Trooper S2,OG Solid Tank,OG Trooper C1,4.0,,,
80,Meka #80,Orange,OG Meka,OG Darya Trooper,OG Pink E0,OG Filter,OG Trooper S1,OG Solid Tank,OG Trooper C1,4.0,,,
81,Meka #81,,OG Meka,OG Delta Elite,OG White E13,OG Trooper M1,OG Trooper S1,OG Solid Tank,OG Trooper C1,0.0,,Camo green,
82,Meka #82,,OG Meka,OG Oblong Elite,OG Violet E1,OG Sphere,OG Assault jaw,OG Trooper A2,OG Trooper C2,0.0,,Carbon,
83,Meka #83,,OG Meka,OG Delta Elite,OG Rose E1,OG Monkey R-9,OG Assault jaw,OG Squadron 4,OG Heavy C2,0.0,,Carbon,
84,Meka #84,Aqua Lite,F9,F9 Spikes,F9 Green E21,F9 Assault,F9 Brackyura,F9 Bastion,F9 Bastion C1,4.0,GAI Tessen x2,,
85,Meka #85,Blue Grey,F9,F9 Spikes,F9 Green E4,F9 Heavy,F9 Assault,F9 Jingasa A1,F9 Bastion C1,3.0,,,
86,Meka #86,Blood Red,OG Meka,OG Delta Trooper,OG Rose E1,OG Monkey R-9,OG Trooper S1,OG Trooper A2,OG Heavy C1,4.0,,,
87,Meka #87,Orange,OG Meka,OG Delta Trooper,OG Violet E1,OG Heavy,OG Trooper S2,OG Trooper A1,OG Trooper C1,4.0,,,
88,Meka #88,Orange,OG Meka,OG Delta Trooper,OG Violet E1,OG Trooper M1,OG Rocket jaw,OG Trooper A2,OG Trooper C2,4.0,,,
89,Meka #89,,OG Meka,OG Delta Elite,OG Rose E1,OG Monkey R-9,OG Sabotage S3,OG Trooper A2,OG Heavy C1,0.0,,Camo green,
90,Meka #90,Dark Grey,Gādian,GAI Bastion,Pink Delta,GAI Jingasa M1,Bastion J2,GAI Youma,GAI Sōhei C1,4.0,GAI Enten,,
91,Meka #91,Sky Blue,Gādian,GAI Jingasa H1,Pink Delta,GAI Jingasa M1,GAI Jingasa J1,GAI Jingasa A1,GAI Sōhei C1,3.0,,,
92,Meka #92,Aqua Lite,OG Meka,OG Quartz Heavy,OG Rose E1,OG Sphere,OG Assault jaw,OG Trooper A2,OG Trooper C1,3.0,,,
93,Meka #93,,Mirage,MI Racer H2,MI Pink Visor,MI Racer M2,MI Falcon W0,MI Radar A1,MI Radar C1,0.0,Mi Spectral blade x2,Carbon,
94,Meka #94,Red,OG Meka,OG Oblong Elite,OG Rose E1,OG Trooper M1,OG Trooper S1,OG Squadron 4,OG Trooper C1,3.0,OG Solid Blade,,
95,Meka #95,Light Green,OG Meka,OG Rombus Trooper,OG Green E21,OG Sphere,OG Sabotage S7,OG Trooper A2,OG Trooper C1,2.0,,,
96,Meka #96,,Gādian,GAI Bastion,Pink Delta,GAI Jingasa M1,GAI Jingasa J1,GAI Youma,GAI Jingasa C1,0.0,,Sky,
97,Meka #97,Aqua Lite,OG Meka,OG Rombus Trooper,OG Rose E1,OG Heavy,OG Trooper S2,OG Trooper A1,OG Trooper C1,4.0,,,
98,Meka #98,Orange,OG Meka,OG Radiant Trooper,OG Rose E1,OG Trooper M2,OG Trooper S2,OG Squadron 3,OG Trooper C1,5.0,,,
99,Meka #99,Pink,OG Meka,OG Delta Trooper,OG Rose E1,OG Trooper M2,OG Trooper S1,OG Trooper A2,OG Trooper C1,3.0,,,
100,Meka #100,,F9,F9 Kagen,F9 Green E4,F9 Bastion M1,F9 Assault,F9 Samourai A0,F9 Fortress C1,0.0,,Camo blue,
101,Meka #101,Orange,Mirage,MI Radar,MI Pink Visor,MI Racer M2,MI WS-2,MI Racer A2,MI Radar C1,3.0,,Gold Helmet,
102,Meka #102,Pastel Blue,Gādian,GAI Jingasa H2,Pink Delta,GAI Jingasa M1,GAI Jingasa J1,GAI Jingasa A1,GAI Jingasa C1,4.0,,,
103,Meka #103,Sky Blue,Mirage,MI Racer,MI Pink Visor,MI Racer M1,MI Radar W1,MI Racer A1,MI Racer C1,4.0,,,
104,Meka #104,White,OG Meka,OG Oblong Elite,OG Rose E1,OG Trooper M1,OG Trooper S2,OG Trooper A2,OG Heavy C1,2.0,OG Smiley K2,Gold Helmet,
105,Meka #105,,OG Meka,OG Delta Elite,OG Green E21,OG Monkey R-7,OG Assault jaw,OG Solid Tank,OG Trooper C1,0.0,,Siberie,
106,Meka #106,Red,OG Meka,OG Quartz Trooper,OG White E13,OG Sphere,OG Trooper S1,OG Trooper A1,OG Trooper C1,3.0,,,
107,Meka #107,Dark Grey,F9,F9 Spikes,F9 Green E4,F9 Heavy,F9 Assault,F9 Jingasa A1,F9 Fortress C2,3.0,GAI Tessen x2,Silver Weapon,
108,Meka #108,Blood Red,F9,F9 Spikes,F9 Red E21,F9 Bastion M1,F9 Assault,F9 Jingasa A1,F9 Fortress C2,4.0,GAI Katana x2,Gold Weapon,
109,Meka #109,Red,Gādian,GAI Bastion,Pink Delta,GAI Jingasa M2,GAI Jingasa J1,GAI Jingasa A2,GAI Jingasa C1,3.0,GAI Enten,,
110,Meka #110,Pastel Blue,Gādian,GAI Bastion,Pink Delta,GAI Jingasa M1,GAI Jingasa J1,GAI Sōhei A1,GAI Sōhei C1,3.0,,,
111,Meka #111,Dark Grey,Mirage,MI Radar,MI Pink Visor,MI Racer M1,MI Racer W2,MI Radar A1,MI Racer C1,3.0,,,
112,Meka #112,,Gādian,GAI Yokai,Pink Delta,GAI Jingasa M1,GAI Jingasa J1,GAI Youma,GAI Sōhei C2,0.0,GAI Gessoku,Camo blue,
113,Meka #113,Blood Red,Gādian,GAI Youma H2,White Circle,GAI Jingasa M1,Bastion J2,GAI Jingasa A2,GAI Jingasa C1,4.0,GAI Enten,,
114,Meka #114,Pastel Blue,OG Meka,OG Rombus Elite,OG Rose E1,OG Sphere,OG Trooper S1,OG Squadron 3,OG Trooper C1,3.0,,,
115,Meka #115,Pastel Blue,Mirage,MI Racer,MI Aqua Eye,MI Kaiman,MI Racer W1,MI Racer A1,MI Racer C1,4.0,,,
116,Meka #116,Blurple,Mirage,MI Eagle,MI Pink Visor,MI Kaiman,MI Racer W1,MI Racer A2,MI Racer C1,4.0,,,
117,Meka #117,Aqua Lite,Gādian,GAI Jingasa H2,Pink Delta,GAI Bastion M2,GAI Jingasa J1,GAI Jingasa A1,GAI Sōhei C2,4.0,,,
118,Meka #118,Red,Mirage,MI Sonar,MI Red Visor,MI Salamender,MI Sonar J2,MI Radar A1,MI Racer C1,4.0,Mi Wing blade x2,,
119,Meka #119,Dark Grey,Gādian,GAI Bastion,Red Hexa,GAI Ukiyo-E,GAI Jingasa J1,GAI Youma,GAI Youma,4.0,,,
120,Meka #120,Blue Grey,Mirage,MI Radar,MI Pink Visor,MI Racer M1,MI Storm,MI Radar A1,MI Racer C1,3.0,,,
121,Meka #121,Dark Grey,Mirage,MI Eagle,MI Pink Visor,MI Salamender,MI Racer W1,MI Racer A1,MI Racer C1,4.0,,,
122,Meka #122,Dark Grey,OG Meka,OG Delta Trooper,OG Rose E1,OG Last Breath,OG Trooper S1,OG Trooper A1,OG Trooper C1,4.0,,,
123,Meka #123,Blue Grey,OG Meka,OG Oblong Elite,OG Pink E0,OG Heavy,OG Rocket jaw,OG Trooper A1,OG Heavy C1,3.0,OG Solid Blade,Silver Helmet,
124,Meka #124,Blood Red,OG Meka,OG Delta Trooper,OG Green E21,OG Knight,OG Trooper S2,OG Trooper A1,OG Trooper C1,4.0,OG Dawn Sword,,
125,Meka #125,,OG Meka,OG Delta Elite,OG Violet E1,OG Sphere,OG Trooper S2,OG Solid Tank,OG Trooper C1,0.0,,Ghost,
126,Meka #126,White,F9,F9 Ronin H1,F9 Green E21,F9 Monkey,F9 Assault,F9 Jingasa A1,F9 Bastion C1,3.0,GAI Gessoku,,
127,Meka #127,,F9,F9 Ronin H1,F9 Green E7,F9 Monkey,F9 Assault,F9 Bastion,F9 Bastion C1,0.0,GAI Katana x2,Fire,
128,Meka #128,Blurple,Gādian,GAI Tetra H2,Pink Delta,GAI Bastion M1,GAI Jingasa J1,GAI Jingasa A1,GAI Youma,4.0,,Silver Helmet,
129,Meka #129,,OG Meka,OG Oblong Elite,OG Rose E1,OG Filter,OG Sabotage S3,OG Trooper A2,OG Trooper C1,0.0,,Camo blue,
130,Meka #130,Aqua Lite,Mirage,MI Eagle,MI Pink Visor,MI Racer M1,MI WS-2,MI Radar A1,MI Racer C1,4.0,,,
131,Meka #131,Camo Green,OG Meka,OG Quartz Trooper,OG Violet E1,OG Monkey R-9,OG Rocket jaw,OG Trooper A1,OG Trooper C1,3.0,OG Plasma Ray,,
132,Meka #132,Blue Grey,OG Meka,OG Darya Trooper,OG Rose E1,OG Sphere,OG Sabotage S7,OG Trooper A1,OG Heavy C1,3.0,OG Cannons,,
133,Meka #133,,OG Meka,OG Quartz Master,OG Rose E1,OG Sphere,OG Assault jaw,OG Trooper A2,OG Heavy C1,0.0,,Siberie,
134,Meka #134,Blue Grey,OG Meka,OG Delta Elite,OG Violet E1,OG Heavy,OG Sabotage S3,OG Squadron 3,OG Heavy C2,3.0,,,
135,Meka #135,Blue Grey,OG Meka,OG Radiant Elite,OG Green E7,OG Trooper M2,OG Trooper S1,OG Trooper A1,OG Trooper C1,4.0,,Silver Helmet,
136,Meka #136,White,OG Meka,OG Rombus Trooper,OG Rose E1,OG Knight,OG Trooper S1,OG Trooper A1,OG Trooper C2,2.0,,,
137,Meka #137,Sky Blue,OG Meka,OG Darya Elite,OG Blue E4,OG Last Breath,OG Trooper S2,OG Trooper A2,OG Heavy C1,3.0,,,
138,Meka #138,Blood Red,OG Meka,OG Delta Trooper,OG Blue E4,OG Sphere,OG Assault jaw,OG Trooper A1,OG Trooper C1,4.0,,,
139,Meka #139,Red,F9,F9 Spikes,F9 Green E7,F9 Knight,F9 Assault,F9 Jingasa A2,F9 Bastion C1,4.0,,Silver Helmet,
140,Meka #140,White,Mirage,MI Racer,MI Pink Visor,MI Radar M1,MI Racer W1,MI Racer A1,MI Racer C2,2.0,,,
141,Meka #141,Aqua Lite,Gādian,GAI Janjin H2,Pink Delta,GAI Jingasa M2,GAI Jingasa J1,GAI Youma,GAI Jingasa C1,3.0,GAI Katana,,
142,Meka #142,Blue Grey,OG Meka,OG Quartz Trooper,OG Rose E1,OG Trooper M1,OG Trooper S1,OG Squadron 3,OG Trooper C1,3.0,OG Smiley K1,,
143,Meka #143,Light Green,OG Meka,OG Delta Trooper,OG Rose E1,OG Sphere,OG Trooper S1,OG Trooper A1,OG Trooper C1,3.0,,,
144,Meka #144,Blurple,OG Meka,OG Radiant Trooper,OG Violet E1,OG Trooper M1,OG Sabotage S3,OG Trooper A1,OG Trooper C1,4.0,,,
145,Meka #145,Dark Grey,Mirage,MI Racer,MI Pink Visor,MI Racer M2,MI Racer W1,MI Racer A1,MI Racer C1,4.0,,,
146,Meka #146,Blue Grey,Mirage,MI Falcon H0,MI Pink Visor,MI Racer M1,MI WS-2,MI Radar A1,MI Radar C1,3.0,,,
147,Meka #147,Blood Red,OG Meka,OG Delta Trooper,OG Violet E1,OG Mantis,OG Assault jaw,OG Trooper A2,OG Trooper C1,4.0,OG Cannons,,
148,Meka #148,Camo Green,Gādian,GAI Jingasa H1,Pink Circle,GAI Youma,GAI Jingasa J1,GAI Youma,GAI Jingasa C1,2.0,,,
149,Meka #149,Dark Grey,Mirage,MI Racer,MI Pink Visor,MI Racer M1,MI WS-1,MI Radar A1,MI Racer C1,3.0,MI Rockets X,,
150,Meka #150,Pink,OG Meka,OG Radiant Trooper,OG Rose E1,OG Trooper M2,OG Trooper S2,OG Trooper A1,OG Trooper C1,3.0,OG Plasma Ray,,
151,Meka #151,Pink,OG Meka,OG Delta Trooper,OG Rose E1,OG Sphere,OG Trooper S1,OG Solid Tank,OG Trooper C2,4.0,,,
152,Meka #152,Blood Red,Gādian,GAI Jingasa H1,White Square,GAI Bastion M2,Brachyura,GAI Jingasa A1,GAI Sōhei C1,3.0,GAI Tessen x2,,
153,Meka #153,Dark Grey,Gādian,GAI Jingasa H1,Pink Circle,GAI Bastion M1,GAI Jingasa J1,GAI Jingasa A1,GAI Jingasa C1,3.0,,,
154,Meka #154,Red,Mirage,MI Racer,MI Pink Visor,MI Kaiman,MI Falcon W0,MI Radar A1,MI Sonic C1,4.0,,,
155,Meka #155,Blurple,OG Meka,OG Oblong Heavy,OG Violet E1,OG Last Breath,OG Assault jaw,OG Trooper A2,OG Trooper C1,4.0,,,
156,Meka #156,Dark Grey,OG Meka,OG Oblong Heavy,OG Blue E4,OG Monkey R-9,OG Trooper S2,OG Trooper A1,OG Heavy C1,4.0,,,
157,Meka #157,Sky Blue,OG Meka,OG Delta Trooper,OG Red E0,OG Sphere,OG Trooper S2,OG Trooper A1,OG Trooper C1,4.0,OG Thunder Gun,,
158,Meka #158,Camo Green,F9,F9 Loop,F9 Green E4,F9 Heavy,F9 Assault,F9 Jingasa A2,F9 Fortress C1,2.0,,,
159,Meka #159,Aqua Lite,OG Meka,OG Delta Elite,OG Rose E1,OG Knight,OG Trooper S2,OG Solid Tank,OG Trooper C1,3.0,,,
160,Meka #160,Aqua Lite,F9,F9 Assault Spikes,F9 Green E7,F9 Bastion M2,F9 Assault,F9 Jingasa A1,F9 Fortress C1,4.0,,,
161,Meka #161,Red,OG Meka,OG Delta Trooper,OG Violet E1,OG Trooper M2,OG Sabotage S7,OG Squadron 4,OG Trooper C1,3.0,,,
162,Meka #162,Red,Gādian,GAI Yokai,Pink Delta,GAI Bastion M2,GAI Jingasa J1,GAI Jingasa A2,GAI Sōhei C1,3.0,,,
163,Meka #163,Pastel Blue,OG Meka,OG Quartz Trooper,OG Rose E1,OG Trooper M1,OG Assault jaw,OG Trooper A1,OG Trooper C2,3.0,,,
164,Meka #164,Blood Red,Mirage,MI Sonar,MI Aqua Eye,MI Racer M2,MI WS-2,MI Radar A1,MI Racer C2,3.0,,,
165,Meka #165,Sky Blue,OG Meka,OG Delta Trooper,OG Rose E1,OG Heavy,OG Trooper S2,OG Squadron 3,OG Heavy C1,4.0,,,
166,Meka #166,Red,OG Meka,OG Delta Heavy,OG Rose E1,OG Filter,OG Trooper S1,OG Trooper A2,OG Trooper C1,4.0,OG Plasma Ray,,
167,Meka #167,Red,Mirage,MI Radar,MI Pink Visor,MI Racer M1,MI Sonar J2,MI Sonic A1,MI Racer C1,3.0,MI Rockets X,,
168,Meka #168,Orange,OG Meka,OG Delta Heavy,OG Violet E1,OG Monkey R-7,OG Trooper S1,OG Trooper A2,OG Trooper C1,3.0,,,
169,Meka #169,Blue Grey,Gādian,GAI Yokai,Pink Delta,GAI Youma,GAI Jingasa J1,GAI Sōhei A1,GAI Jingasa C1,2.0,,,
170,Meka #170,Blood Red,OG Meka,OG Darya Trooper,OG Rose E1,OG Trooper M1,OG Sabotage S7,OG Trooper A1,OG Heavy C2,3.0,,,
